year,centre_code,centre_name,ownership,address,postal_code,municipality_code,municipality,county,utm_x,utm_y,longitude,latitude,source_url
2025,43009667,Llar d'infants Municipal de Creixell,Corporacions Locals,"c. Coma, 30",43838,430509,Creixell,Tarragonès,369327,4558201,1.442386,41.16462,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43011649,Llar d'infants Nova Guarderia,Corporacions Locals,"c. Onze de Setembre, 4",43838,430509,Creixell,Tarragonès,368850,4558864,1.436562,41.17051,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43012241,Escola Bressol L'Estel de Mar,Corporacions Locals,"c. Vendrell, 7",43838,430509,Creixell,Tarragonès,369293,4558208,1.441982,41.16467,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43001735,Escola Ventura Gassol,Departament d'Educació i Formació Professional,"camí de Reus, 13",43760,430957,El Morell,Tarragonès,349442,4561538,1.204652,41.19121,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43008407,Institut El Morell,Departament d'Educació i Formació Professional,"c. César Martinell, 1",43760,430957,El Morell,Tarragonès,349238,4561618,1.20219,41.191,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43009931,Llar d'infants Dolça del Morell,Corporacions Locals,"pl. de l'Estatut, s/n",43760,430957,El Morell,Tarragonès,349519,4561458,1.205586,41.1905,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43012231,Esc. de Música Municipal El Morell,Corporacions Locals,"rbla. Maragall, 40",43760,430957,El Morell,Tarragonès,349961,4561436,1.210854,41.19039,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43005467,Escola Les Codinetes,Departament d'Educació i Formació Professional,"Raval dels Hostalets, s/n",43763,430976,La Nou de Gaià,Tarragonès,363746,4560378,1.375411,41.1833,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43011042,Llar d'infants La Palmera,Corporacions Locals,"c. Sants Cosme i Damià, 4",43763,430976,La Nou de Gaià,Tarragonès,363895,4560464,1.377164,41.1841,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43001826,Escola Sant Sebastià,Departament d'Educació i Formació Professional,"av. Catalunya, 12",43151,431009,Els Pallaresos,Tarragonès,355271,4559513,1.27461,41.17404,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43009564,LLI privada Can Petits,Societats Civils,"c. Tarragona, 6",43151,431009,Els Pallaresos,Tarragonès,355061,4559392,1.272134,41.17292,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43010748,Institut Els Pallaresos,Departament d'Educació i Formació Professional,"av. Catalunya, 12",43151,431009,Els Pallaresos,Tarragonès,355415,4559485,1.276325,41.17382,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43012563,Escola Bressol Els Pallaresos,Corporacions Locals,"c. Gregal, 2-4",43151,431009,Els Pallaresos,Tarragonès,354808,4558296,1.26938,41.163,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43007476,Llar d'infants Perafort,Corporacions Locals,"av. de Catalunya, s/n",43152,431037,Perafort,Tarragonès,353888,4561361,1.257682,41.19043,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43009886,Escola Josep Veciana,Departament d'Educació i Formació Professional,"av. Catalunya, s/n",43152,431037,Perafort,Tarragonès,353849,4561251,1.257245,41.18944,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43005480,Escola Mare de Déu del Lledó,Departament d'Educació i Formació Professional,"av. Guillem de Montoliu, s/n",43140,431093,La Pobla de Mafumet,Tarragonès,349687,4560647,1.207787,41.18324,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43008936,Llar d'infants L'Esquirol,Corporacions Locals,"c. Marià Fortuny, s/n",43140,431093,La Pobla de Mafumet,Tarragonès,349577,4560975,1.206396,41.18617,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
