Habitatges. Per tipus d'habitatge
Municipis. 2021
Font: Idescat, a partir del Cens de població i habitatges de l'INE.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=censph&n=30&geo=mun&lang=ca
Codi;Nom;Habitatges familiars convencionals principals;Habitatges familiars convencionals no principals;Habitatges familiars convencionals;Habitatges familiars no convencionals (allotjaments);Total habitatges familiars;Establiments col·lectius
430304;Bonastre;312;267;579;0;579;0
250576;Bòrdes, Es;121;181;302;0;302;0
170255;Bordils;630;112;742;0;742;0
250582;Borges Blanques, les;2438;849;3287;0;3287;1
430311;Borges del Camp, les;778;340;1118;0;1118;1
170268;Borrassà;263;68;331;0;331;0
080240;Borredà;178;214;392;0;392;1
250595;Bossòst;443;323;766;0;766;1
430326;Bot;239;237;476;0;476;0
430332;Botarell;405;185;590;0;590;0
250560;Bovera;111;114;225;0;225;0
430347;Bràfim;259;132;391;0;391;0
170274;Breda;1491;336;1827;0;1827;0
080253;Bruc, el;856;350;1206;0;1206;0
080266;Brull, el;87;38;125;0;125;0
170280;Brunyola i Sant Martí Sapresa;142;82;224;0;224;0
430350;Cabacés;124;109;233;0;233;0
250609;Cabanabona;23;46;69;0;69;1
170314;Cabanelles;98;74;172;0;172;0
170307;Cabanes;351;96;447;0;447;1
080272;Cabanyes, les;316;59;375;0;375;1
250616;Cabó;36;75;111;0;111;0
430363;Cabra del Camp;487;479;966;0;966;0
080288;Cabrera d'Anoia;632;528;1160;0;1160;0
080291;Cabrera de Mar;1710;566;2276;0;2276;0
080305;Cabrils;2541;929;3470;0;3470;1
170329;Cadaqués;1155;2443;3598;0;3598;2
080312;Calaf;1376;531;1907;0;1907;0
430379;Calafell;11820;15292;27112;0;27112;4
080348;Calders;392;191;583;0;583;0
080327;Caldes d'Estrac;1231;648;1879;0;1879;3
170335;Caldes de Malavella;2877;1298;4175;0;4175;5
080333;Caldes de Montbui;6603;1105;7708;0;7708;5
080351;Calella;7673;2984;10657;0;10657;7
080370;Calldetenes;899;126;1025;0;1025;1
080386;Callús;835;176;1011;0;1011;1
080364;Calonge de Segarra;62;60;122;0;122;0
170340;Calonge i Sant Antoni;4770;9342;14112;0;14112;3
250621;Camarasa;348;458;806;0;806;0
439039;Camarles;1281;746;2027;0;2027;0
430385;Cambrils;14146;17587;31733;0;31733;5
170353;Camós;240;89;329;0;329;0
170366;Campdevànol;1311;321;1632;0;1632;1
170372;Campelles;71;111;182;0;182;0
080399;Campins;218;87;305;0;305;0
170388;Campllong;167;29;196;0;196;0
170391;Camprodon;1034;1679;2713;0;2713;1
250637;Canejan;45;57;102;0;102;0
170405;Canet d'Adri;264;107;371;0;371;0
080403;Canet de Mar;5742;1826;7568;0;7568;9
439076;Canonja, la;2167;506;2673;0;2673;0
080410;Canovelles;5734;449;6183;0;6183;3
080425;Cànoves i Samalús;1139;323;1462;0;1462;0
170412;Cantallops;123;107;230;0;230;0
080431;Canyelles;1829;990;2819;0;2819;0
430398;Capafonts;65;115;180;0;180;0
430402;Capçanes;154;142;296;0;296;0
080446;Capellades;2083;690;2773;0;2773;1
170427;Capmany;237;140;377;0;377;0
080459;Capolat;34;26;60;0;60;0
080462;Cardedeu;6819;835;7654;0;7654;4
080478;Cardona;1826;1082;2908;0;2908;2
080484;Carme;300;202;502;0;502;0
430419;Caseres;92;123;215;0;215;0
170448;Cassà de la Selva;3802;907;4709;0;4709;2
080497;Casserres;646;350;996;0;996;1
170486;Castell d'Aro, Platja d'Aro i s'Agaró;4905;10807;15712;0;15712;5
080575;Castell de l'Areny;31;35;66;0;66;0
259046;Castell de Mur;84;88;172;0;172;0
250642;Castellar de la Ribera;40;33;73;0;73;0
080522;Castellar de n'Hug;71;205;276;0;276;0
080500;Castellar del Riu;63;52;115;0;115;0
080517;Castellar del Vallès;8948;1104;10052;0;10052;6
080538;Castellbell i el Vilar;1523;598;2121;0;2121;3
080543;Castellbisbal;4411;710;5121;0;5121;0
080556;Castellcir;283;193;476;0;476;1
250674;Castelldans;378;186;564;0;564;0
080569;Castelldefels;24792;3916;28708;0;28708;28
080581;Castellet i la Gornal;973;720;1693;0;1693;0
170464;Castellfollit de la Roca;387;133;520;0;520;0
080608;Castellfollit de Riubregós;69;91;160;0;160;0
080594;Castellfollit del Boix;166;205;371;0;371;0
080615;Castellgalí;801;338;1139;0;1139;4
080620;Castellnou de Bages;479;203;682;0;682;1
250680;Castellnou de Seana;279;126;405;0;405;0
170470;Castelló d'Empúries;4660;11703;16363;2;16365;19
250693;Castelló de Farfanya;212;198;410;0;410;0
080636;Castellolí;232;73;305;0;305;0
250707;Castellserà;387;196;583;0;583;0
080641;Castellterçol;1038;569;1607;0;1607;2
430424;Castellvell del Camp;960;243;1203;0;1203;0
080654;Castellví de la Marca;587;239;826;0;826;0
080667;Castellví de Rosanes;664;213;877;0;877;3
430430;Catllar, el;1744;981;2725;0;2725;0
250714;Cava;26;74;100;0;100;0
171899;Cellera de Ter, la;741;199;940;0;940;0
170499;Celrà;1846;315;2161;0;2161;1
080673;Centelles;2952;749;3701;0;3701;1
082687;Cercs;517;578;1095;0;1095;0
082665;Cerdanyola del Vallès;21726;2132;23858;0;23858;45
080689;Cervelló;3289;759;4048;0;4048;3
250729;Cervera;3468;1201;4669;0;4669;3
250735;Cervià de les Garrigues;291;336;627;0;627;0
170502;Cervià de Ter;329;111;440;0;440;0
170519;Cistella;114;73;187;0;187;0
250740;Ciutadilla;73;166;239;0;239;0
250753;Clariana de Cardener;48;35;83;0;83;0
250766;Cogul, el;66;64;130;0;130;0
170545;Colera;230;758;988;0;988;0
250772;Coll de Nargó;229;330;559;0;559;0
080692;Collbató;1607;364;1971;0;1971;4
430458;Colldejou;64;54;118;0;118;0
080706;Collsuspina;139;67;206;0;206;0
170558;Colomers;84;68;152;0;152;0
251636;Coma i la Pedra, la;133;750;883;0;883;0
251615;Conca de Dalt;188;342;530;0;530;0
430461;Conesa;49;119;168;0;168;0
430477;Constantí;2436;796;3232;0;3232;0
080713;Copons;118;87;205;0;205;0
430483;Corbera d'Ebre;368;126;494;0;494;0
080728;Corbera de Llobregat;5362;1422;6784;0;6784;12
250788;Corbins;534;121;655;0;655;0
170577;Corçà;469;240;709;0;709;0
080734;Cornellà de Llobregat;34517;2517;37034;0;37034;30
170561;Cornellà del Terri;825;222;1047;0;1047;1
430496;Cornudella de Montsant;439;391;830;0;830;0
430509;Creixell;1627;2422;4049;0;4049;2
170583;Crespià;98;51;149;0;149;0
179011;Cruïlles, Monells i Sant Sadurní de l'Heura;487;295;782;0;782;1
080749;Cubelles;6607;4252;10859;0;10859;2
