Habitatges. Per tipus d'habitatge
Municipis. 2021
Font: Idescat, a partir del Cens de població i habitatges de l'INE.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=censph&n=30&geo=mun&lang=ca
Codi;Nom;Habitatges familiars convencionals principals;Habitatges familiars convencionals no principals;Habitatges familiars convencionals;Habitatges familiars no convencionals (allotjaments);Total habitatges familiars;Establiments col·lectius
431068;Pinell de Brai, el;372;165;537;0;537;0
251667;Pinell de Solsonès;63;47;110;0;110;0
251673;Pinós;102;79;181;0;181;0
431074;Pira;196;92;288;0;288;0
431080;Pla de Santa Maria, el;927;443;1370;0;1370;2
081640;Pla del Penedès, el;526;204;730;0;730;0
171334;Planes d'Hostoles, les;652;311;963;0;963;1
171349;Planoles;141;448;589;0;589;0
259118;Plans de Sió, els;209;177;386;0;386;0
251689;Poal, el;234;88;322;0;322;0
251692;Pobla de Cérvoles, la;104;194;298;0;298;0
081653;Pobla de Claramunt, la;818;241;1059;0;1059;0
081666;Pobla de Lillet, la;474;515;989;0;989;1
431093;Pobla de Mafumet, la;1420;195;1615;0;1615;0
431107;Pobla de Massaluca, la;137;128;265;0;265;0
431114;Pobla de Montornès, la;1240;915;2155;0;2155;0
251713;Pobla de Segur, la;1333;1122;2455;0;2455;2
431129;Poboleda;139;226;365;0;365;0
081672;Polinyà;3009;182;3191;0;3191;1
431135;Pont d'Armentera, el;222;181;403;0;403;0
250306;Pont de Bar, el;80;103;183;0;183;0
171352;Pont de Molins;208;64;272;0;272;0
251734;Pont de Suert, el;1004;909;1913;0;1913;1
081825;Pont de Vilomara i Rocafort, el;1493;458;1951;0;1951;0
431418;Pontils;62;142;204;0;204;0
081688;Pontons;221;367;588;0;588;0
171365;Pontós;106;72;178;0;178;0
251728;Ponts;1043;482;1525;0;1525;1
171371;Porqueres;1624;211;1835;0;1835;0
431140;Porrera;175;149;324;0;324;0
171404;Port de la Selva, el;477;2020;2497;0;2497;0
171387;Portbou;532;559;1091;0;1091;0
251749;Portella, la;231;60;291;0;291;1
431153;Pradell de la Teixeta;71;94;165;0;165;0
431166;Prades;282;634;916;0;916;0
431172;Prat de Comte;79;94;173;0;173;0
081691;Prat de Llobregat, el;24614;1904;26518;0;26518;9
431188;Pratdip;291;485;776;0;776;0
081712;Prats de Lluçanès;997;392;1389;0;1389;1
081705;Prats de Rei, els;212;143;355;0;355;1
251752;Prats i Sansor;108;447;555;0;555;0
251765;Preixana;159;88;247;0;247;0
251771;Preixens;164;137;301;0;301;0
082303;Premià de Dalt;3675;565;4240;0;4240;2
081727;Premià de Mar;10876;1437;12313;0;12313;7
171390;Preses, les;657;110;767;0;767;0
251790;Prullans;118;152;270;0;270;0
171411;Puigcerdà;3563;2426;5989;0;5989;4
081748;Puigdàlber;205;58;263;0;263;0
251804;Puiggròs;112;65;177;0;177;0
431191;Puigpelat;431;169;600;0;600;0
081751;Puig-reig;1742;634;2376;0;2376;3
251811;Puigverd d'Agramunt;95;28;123;0;123;0
251826;Puigverd de Lleida;507;246;753;0;753;1
081764;Pujalt;76;100;176;0;176;0
081770;Quar, la;18;13;31;0;31;0
171426;Quart;1313;186;1499;0;1499;0
170433;Queralbs;98;280;378;0;378;0
431205;Querol;257;510;767;0;767;0
171432;Rabós;94;87;181;0;181;0
081786;Rajadell;202;94;296;0;296;0
431362;Ràpita, la;6047;6027;12074;0;12074;3
431212;Rasquera;334;340;674;0;674;0
171447;Regencós;110;76;186;0;186;0
081799;Rellinars;335;213;548;0;548;0
431227;Renau;57;22;79;0;79;0
431233;Reus;40520;10764;51284;0;51284;43
251832;Rialp;295;517;812;0;812;0
431248;Riba, la;251;212;463;0;463;0
431251;Riba-roja d'Ebre;475;404;879;0;879;0
259059;Ribera d'Ondara;170;145;315;0;315;0
251850;Ribera d'Urgellet;376;273;649;0;649;0
171450;Ribes de Freser;785;862;1647;0;1647;2
171463;Riells i Viabrea;1633;750;2383;0;2383;0
431264;Riera de Gaià, la;623;246;869;0;869;0
251863;Riner;92;38;130;0;130;0
171479;Ripoll;4391;1274;5665;0;5665;6
081803;Ripollet;14559;868;15427;0;15427;3
259139;Riu de Cerdanya;47;77;124;0;124;0
171485;Riudarenes;893;550;1443;0;1443;0
171498;Riudaura;180;76;256;0;256;0
431270;Riudecanyes;471;295;766;0;766;0
431286;Riudecols;490;221;711;0;711;0
171501;Riudellots de la Selva;739;104;843;0;843;0
431299;Riudoms;2387;1060;3447;0;3447;1
171518;Riumors;93;62;155;0;155;0
081810;Roca del Vallès, la;3876;639;4515;0;4515;5
431303;Rocafort de Queralt;97;132;229;0;229;0
431310;Roda de Berà;3089;5673;8762;0;8762;2
081831;Roda de Ter;2391;428;2819;0;2819;1
431325;Rodonyà;206;179;385;0;385;0
431331;Roquetes;2996;1297;4293;0;4293;2
171523;Roses;7877;16866;24743;0;24743;57
251898;Rosselló;1173;374;1547;0;1547;1
431346;Rourell, el;148;39;187;0;187;0
081846;Rubí;28881;3595;32476;0;32476;12
081859;Rubió;74;30;104;0;104;0
171539;Rupià;114;87;201;0;201;0
089019;Rupit i Pruit;116;196;312;0;312;0
081878;Sabadell;83558;9214;92772;0;92772;128
081884;Sagàs;44;34;78;0;78;0
251902;Salàs de Pallars;152;310;462;0;462;0
081901;Saldes;141;226;367;0;367;0
171544;Sales de Llierca;60;27;87;0;87;0
081918;Sallent;2690;783;3473;0;3473;2
431359;Salomó;215;138;353;0;353;0
439057;Salou;11639;19884;31523;0;31523;5
171557;Salt;10518;1124;11642;0;11642;8
251919;Sanaüja;170;204;374;0;374;0
081944;Sant Adrià de Besòs;13757;1120;14877;0;14877;8
081957;Sant Agustí de Lluçanès;36;39;75;0;75;0
081960;Sant Andreu de la Barca;9930;606;10536;0;10536;3
081976;Sant Andreu de Llavaneres;4132;1429;5561;0;5561;5
171576;Sant Andreu Salou;49;30;79;0;79;0
171833;Sant Aniol de Finestres;133;96;229;0;229;0
081982;Sant Antoni de Vilamajor;2358;638;2996;0;2996;3
081995;Sant Bartomeu del Grau;331;93;424;0;424;0
082009;Sant Boi de Llobregat;31529;2375;33904;0;33904;15
082016;Sant Boi de Lluçanès;188;154;342;0;342;2
082037;Sant Cebrià de Vallalta;1433;733;2166;0;2166;0
082021;Sant Celoni;6807;1139;7946;0;7946;2
082042;Sant Climent de Llobregat;1444;182;1626;0;1626;1
171582;Sant Climent Sescebes;203;163;366;0;366;157
082055;Sant Cugat del Vallès;31327;4443;35770;0;35770;33
082068;Sant Cugat Sesgarrigues;347;74;421;0;421;1
251961;Sant Esteve de la Sarga;60;89;149;0;149;0
082074;Sant Esteve de Palautordera;1053;223;1276;0;1276;1
082080;Sant Esteve Sesrovires;2787;648;3435;0;3435;4
171595;Sant Feliu de Buixalleu;305;256;561;0;561;0
082107;Sant Feliu de Codines;2452;820;3272;0;3272;8
171609;Sant Feliu de Guíxols;8753;7155;15908;0;15908;5
082114;Sant Feliu de Llobregat;17173;1546;18719;0;18719;10
171616;Sant Feliu de Pallerols;514;289;803;0;803;2
082129;Sant Feliu Sasserra;227;150;377;0;377;0
171621;Sant Ferriol;83;27;110;0;110;0
082093;Sant Fost de Campsentelles;3005;422;3427;0;3427;9
082135;Sant Fruitós de Bages;3336;540;3876;0;3876;4
171637;Sant Gregori;1291;215;1506;0;1506;4
251924;Sant Guim de Freixenet;437;252;689;0;689;0
251977;Sant Guim de la Plana;63;40;103;0;103;0
171642;Sant Hilari Sacalm;2203;845;3048;0;3048;4
082153;Sant Hipòlit de Voltregà;1365;374;1739;0;1739;2
081939;Sant Iscle de Vallalta;540;223;763;0;763;1
439023;Sant Jaume d'Enveja;1369;1129;2498;0;2498;1
082166;Sant Jaume de Frontanyà;17;22;39;0;39;0
171655;Sant Jaume de Llierca;333;93;426;0;426;0
431378;Sant Jaume dels Domenys;1023;459;1482;0;1482;0
171674;Sant Joan de les Abadesses;1355;666;2021;0;2021;1
171680;Sant Joan de Mollet;177;55;232;0;232;0
082188;Sant Joan de Vilatorrada;4034;471;4505;0;4505;12
082172;Sant Joan Despí;12582;995;13577;0;13577;4
171851;Sant Joan les Fonts;1186;240;1426;0;1426;1
171668;Sant Jordi Desvalls;288;112;400;0;400;0
089030;Sant Julià de Cerdanyola;116;114;230;0;230;0
171693;Sant Julià de Ramis;1229;158;1387;0;1387;0
082205;Sant Julià de Vilatorta;1092;300;1392;0;1392;0
179032;Sant Julià del Llor i Bonmatí;493;122;615;0;615;0
082212;Sant Just Desvern;7104;854;7958;0;7958;6
082227;Sant Llorenç d'Hortons;928;300;1228;0;1228;1
171714;Sant Llorenç de la Muga;113;148;261;0;261;0
251930;Sant Llorenç de Morunys;417;740;1157;0;1157;2
082233;Sant Llorenç Savall;982;384;1366;0;1366;1
082251;Sant Martí d'Albars;41;32;73;0;73;0
082248;Sant Martí de Centelles;483;135;618;0;618;0
171729;Sant Martí de Llémena;243;140;383;0;383;1
259025;Sant Martí de Riucorb;260;265;525;0;525;0
082264;Sant Martí de Tous;427;168;595;0;595;0
082270;Sant Martí Sarroca;1199;474;1673;0;1673;2
082286;Sant Martí Sesgueioles;128;125;253;0;253;0
171735;Sant Martí Vell;82;37;119;0;119;0
082299;Sant Mateu de Bages;261;116;377;0;377;0
171740;Sant Miquel de Campmajor;81;53;134;0;134;0
171753;Sant Miquel de Fluvià;275;86;361;0;361;0
171766;Sant Mori;76;90;166;0;166;0
171772;Sant Pau de Segúries;301;274;575;0;575;0
082310;Sant Pere de Ribes;11807;2343;14150;0;14150;6
082325;Sant Pere de Riudebitlles;930;255;1185;0;1185;0
082331;Sant Pere de Torelló;941;231;1172;0;1172;3
082346;Sant Pere de Vilamajor;1715;687;2402;0;2402;0
171788;Sant Pere Pescador;791;849;1640;0;1640;0
081897;Sant Pere Sallavinera;61;40;101;0;101;0
082359;Sant Pol de Mar;2246;1638;3884;0;3884;2
082362;Sant Quintí de Mediona;886;347;1233;0;1233;1
082378;Sant Quirze de Besora;847;256;1103;0;1103;1
082384;Sant Quirze del Vallès;6994;615;7609;0;7609;6
082397;Sant Quirze Safaja;261;218;479;0;479;2
251945;Sant Ramon;177;104;281;0;281;1
082401;Sant Sadurní d'Anoia;4824;812;5636;0;5636;1
082418;Sant Sadurní d'Osormort;39;85;124;0;124;0
080983;Sant Salvador de Guardiola;1169;438;1607;0;1607;2
082628;Sant Vicenç de Castellet;3773;651;4424;0;4424;1
082649;Sant Vicenç de Montalt;2369;1243;3612;0;3612;3
082652;Sant Vicenç de Torelló;782;157;939;0;939;0
082634;Sant Vicenç dels Horts;10010;1520;11530;0;11530;7
431384;Santa Bàrbara;1489;815;2304;0;2304;0
082439;Santa Cecília de Voltregà;58;13;71;0;71;0
082444;Santa Coloma de Cervelló;2813;258;3071;0;3071;3
171805;Santa Coloma de Farners;4894;1101;5995;0;5995;5
082457;Santa Coloma de Gramenet;44180;3920;48100;0;48100;12
431397;Santa Coloma de Queralt;1039;545;1584;0;1584;2
171812;Santa Cristina d'Aro;2110;1804;3914;0;3914;2
082460;Santa Eugènia de Berga;840;124;964;0;964;0
082476;Santa Eulàlia de Riuprimer;498;67;565;0;565;0
082482;Santa Eulàlia de Ronçana;2665;553;3218;0;3218;3
082495;Santa Fe del Penedès;127;19;146;0;146;0
171827;Santa Llogaia d'Àlguema;126;25;151;0;151;0
082508;Santa Margarida de Montbui;3723;750;4473;0;4473;0
082515;Santa Margarida i els Monjos;2787;444;3231;0;3231;1
082589;Santa Maria d'Oló;418;275;693;0;693;2
082536;Santa Maria de Besora;70;39;109;0;109;0
082567;Santa Maria de Martorelles;308;80;388;0;388;2
082554;Santa Maria de Merlès;59;52;111;0;111;0
082573;Santa Maria de Miralles;55;50;105;0;105;0
082592;Santa Maria de Palautordera;3581;635;4216;0;4216;1
431401;Santa Oliva;1269;460;1729;0;1729;5
171848;Santa Pau;599;227;826;0;826;1
082606;Santa Perpètua de Mogoda;9369;676;10045;0;10045;3
082613;Santa Susanna;1324;901;2225;0;2225;1
081923;Santpedor;2751;531;3282;0;3282;3
431423;Sarral;566;417;983;0;983;0
171864;Sarrià de Ter;1947;231;2178;0;2178;0
252017;Sarroca de Bellera;53;237;290;0;290;0
252000;Sarroca de Lleida;151;97;248;0;248;0
171870;Saus, Camallera i Llampaies;332;185;517;0;517;0
431439;Savallà del Comtat;24;63;87;0;87;0
431444;Secuita, la;651;330;981;0;981;0
171886;Selva de Mar, la;93;178;271;0;271;0
431457;Selva del Camp, la;2036;660;2696;0;2696;2
431460;Senan;22;40;62;0;62;0
430445;Sénia, la;2169;886;3055;0;3055;1
252022;Senterada;66;284;350;0;350;0
250352;Sentiu de Sió, la;177;107;284;0;284;0
082671;Sentmenat;3350;640;3990;0;3990;2
171903;Serinyà;410;110;520;0;520;1
252043;Seròs;674;277;951;0;951;0
171910;Serra de Daró;77;73;150;0;150;0
171925;Setcases;80;332;412;0;412;0
252038;Seu d'Urgell, la;5075;2407;7482;0;7482;3
082690;Seva;1407;505;1912;0;1912;1
252056;Sidamon;277;85;362;0;362;1
171931;Sils;2349;750;3099;0;3099;1
082704;Sitges;12862;6368;19230;0;19230;6
170524;Siurana;62;27;89;0;89;0
082711;Sobremunt;28;30;58;0;58;0
252069;Soleràs, el;139;83;222;0;222;0
431476;Solivella;258;234;492;0;492;0
252075;Solsona;3693;1453;5146;0;5146;2
082726;Sora;79;64;143;0;143;0
252081;Soriguera;188;190;378;0;378;0
252094;Sort;979;1218;2197;0;2197;1
252108;Soses;612;167;779;0;779;0
082732;Subirats;1167;513;1680;0;1680;2
252115;Sudanell;316;177;493;0;493;2
252120;Sunyer;128;55;183;0;183;0
082747;Súria;2328;577;2905;0;2905;3
171946;Susqueda;43;74;117;0;117;0
082763;Tagamanent;125;56;181;0;181;0
082779;Talamanca;95;149;244;0;244;0
252154;Talarn;157;192;349;0;349;11
252167;Talavera;96;83;179;0;179;0
171959;Tallada d'Empordà, la;186;120;306;0;306;0
082785;Taradell;2431;517;2948;0;2948;3
431482;Tarragona;53551;13649;67200;0;67200;172
252173;Tàrrega;6612;2220;8832;0;8832;6
252189;Tarrés;46;64;110;0;110;0
252192;Tarroja de Segarra;72;57;129;0;129;0
082750;Tavèrnoles;115;58;173;0;173;0
082802;Tavertet;55;139;194;0;194;0
082819;Teià;2325;368;2693;0;2693;2
252206;Térmens;476;226;702;0;702;0
171962;Terrades;109;77;186;0;186;1
082798;Terrassa;84791;16343;101134;0;101134;51
082824;Tiana;3110;326;3436;0;3436;3
252213;Tírvia;61;82;143;0;143;0
252228;Tiurana;29;3;32;0;32;0
431495;Tivenys;367;301;668;0;668;0
431508;Tivissa;661;578;1239;0;1239;0
082830;Tona;3036;569;3605;0;3605;16
252234;Torà;491;274;765;0;765;1
082845;Tordera;6841;2787;9628;0;9628;5
082858;Torelló;5612;975;6587;0;6587;2
252249;Torms, els;66;53;119;0;119;0
252252;Tornabous;302;196;498;0;498;0
252271;Torre de Cabdella, la;401;350;751;0;751;0
082861;Torre de Claramunt, la;1488;789;2277;0;2277;1
431515;Torre de Fontaubella, la;55;51;106;0;106;0
431520;Torre de l'Espanyol, la;236;163;399;0;399;0
252265;Torrebesses;121;106;227;0;227;0
431536;Torredembarra;6954;7599;14553;0;14553;2
252287;Torrefarrera;1677;457;2134;0;2134;2
259078;Torrefeta i Florejacs;246;195;441;0;441;0
252304;Torregrossa;812;295;1107;0;1107;0
252311;Torrelameu;258;52;310;0;310;1
082877;Torrelavit;548;191;739;0;739;0
082883;Torrelles de Foix;963;875;1838;0;1838;2
082896;Torrelles de Llobregat;2182;411;2593;0;2593;2
171978;Torrent;63;113;176;0;176;0
252326;Torres de Segre;815;309;1124;0;1124;4
252332;Torre-serona;140;24;164;0;164;2
171984;Torroella de Fluvià;301;163;464;0;464;0
171997;Torroella de Montgrí;4569;7161;11730;0;11730;4
431541;Torroja del Priorat;71;104;175;0;175;0
172001;Tortellà;315;110;425;0;425;0
431554;Tortosa;12778;6876;19654;0;19654;12
172018;Toses;70;176;246;0;246;0
172023;Tossa de Mar;2520;4585;7105;0;7105;2
252347;Tremp;2497;2232;4729;0;4729;3
172044;Ullà;385;140;525;0;525;0
082900;Ullastrell;727;93;820;0;820;1
172057;Ullastret;95;102;197;0;197;0
431567;Ulldecona;2429;1497;3926;0;3926;3
431573;Ulldemolins;190;244;434;0;434;0
172039;Ultramort;76;48;124;0;124;0
172060;Urús;82;268;350;0;350;0
082917;Vacarisses;2517;1190;3707;0;3707;3
170144;Vajol, la;35;50;85;0;85;0
172076;Vall d'en Bas, la;1145;440;1585;0;1585;1
172082;Vall de Bianya, la;475;169;644;0;644;0
250432;Vall de Boí, la;482;1428;1910;0;1910;0
259010;Vall de Cardós;185;365;550;0;550;0
082922;Vallbona d'Anoia;522;148;670;0;670;0
252385;Vallbona de les Monges;98;197;295;0;295;2
082938;Vallcebre;122;138;260;0;260;0
431589;Vallclara;44;95;139;0;139;0
252402;Vallfogona de Balaguer;690;235;925;0;925;0
171707;Vallfogona de Ripollès;94;103;197;0;197;0
431592;Vallfogona de Riucorb;48;144;192;0;192;0
082943;Vallgorguina;1166;474;1640;0;1640;0
082956;Vallirana;5431;1518;6949;0;6949;8
172095;Vall-llobrega;329;135;464;0;464;0
431606;Vallmoll;672;366;1038;0;1038;0
082969;Vallromanes;908;249;1157;0;1157;0
431613;Valls;9347;4021;13368;0;13368;12
259062;Valls d'Aguilar, les;126;163;289;0;289;0
252398;Valls de Valira, les;315;346;661;0;661;1
431628;Vandellòs i l'Hospitalet de l'Infant;2572;3341;5913;0;5913;1
259097;Vansa i Fórnols, la;76;150;226;0;226;0
082975;Veciana;59;68;127;0;127;1
431634;Vendrell, el;15625;15438;31063;0;31063;4
172109;Ventalló;346;274;620;0;620;0
252424;Verdú;337;305;642;0;642;4
172116;Verges;436;203;639;0;639;0
431649;Vespella de Gaià;194;239;433;0;433;0
082981;Vic;16979;2857;19836;0;19836;33
172121;Vidrà;73;50;123;0;123;0
172137;Vidreres;3036;1312;4348;0;4348;2
252430;Vielha e Mijaran;2395;2917;5312;0;5312;4
431652;Vilabella;274;137;411;0;411;0
172142;Vilabertran;325;73;398;0;398;0
172155;Vilablareix;1078;102;1180;0;1180;0
082994;Vilada;181;144;325;0;325;0
172174;Viladamat;182;92;274;0;274;0
172168;Viladasens;78;36;114;0;114;0
083015;Viladecans;24405;2181;26586;0;26586;7
083008;Viladecavalls;2565;401;2966;0;2966;3
172180;Vilademuls;284;152;436;0;436;1
172207;Viladrau;443;544;987;0;987;0
172214;Vilafant;1835;179;2014;0;2014;1
083054;Vilafranca del Penedès;15485;2779;18264;0;18264;12
252445;Vilagrassa;215;198;413;0;413;0
172235;Vilajuïga;436;137;573;0;573;0
431750;Vilalba dels Arcs;246;180;426;0;426;0
083067;Vilalba Sasserra;282;44;326;0;326;1
252458;Vilaller;247;327;574;0;574;0
172240;Vilallonga de Ter;176;582;758;0;758;0
431665;Vilallonga del Camp;897;292;1189;0;1189;0
172253;Vilamacolum;125;60;185;0;185;0
172266;Vilamalla;377;76;453;0;453;1
172272;Vilamaniscle;86;72;158;0;158;0
252477;Vilamòs;73;94;167;0;167;0
172288;Vilanant;141;65;206;0;206;0
431671;Vilanova d'Escornalbou;227;160;387;0;387;0
252483;Vilanova de Bellpuig;414;140;554;0;554;2
252496;Vilanova de l'Aguda;72;56;128;0;128;0
252542;Vilanova de la Barca;392;182;574;0;574;4
252509;Vilanova de Meià;179;337;516;0;516;1
431687;Vilanova de Prades;48;84;132;0;132;1
083036;Vilanova de Sau;134;124;258;0;258;0
252516;Vilanova de Segrià;387;198;585;0;585;0
083020;Vilanova del Camí;4716;623;5339;0;5339;1
089024;Vilanova del Vallès;1885;392;2277;0;2277;1
083073;Vilanova i la Geltrú;26067;7088;33155;0;33155;39
431690;Vilaplana;218;114;332;0;332;0
431704;Vila-rodona;519;326;845;0;845;0
172305;Vila-sacra;278;21;299;0;299;0
252521;Vila-sana;281;60;341;0;341;0
431711;Vila-seca;8725;8692;17417;0;17417;2
082140;Vilassar de Dalt;3334;724;4058;0;4058;4
082191;Vilassar de Mar;7998;2188;10186;0;10186;8
172229;Vilaür;58;54;112;0;112;0
431726;Vilaverd;181;151;332;0;332;0
431732;Vilella Alta, la;50;66;116;0;116;0
431747;Vilella Baixa, la;95;131;226;0;226;0
172333;Vilobí d'Onyar;1161;185;1346;0;1346;0
083041;Vilobí del Penedès;388;104;492;0;492;1
172327;Vilopriu;96;120;216;0;216;0
252537;Vilosell, el;90;149;239;0;239;0
431763;Vimbodí i Poblet;362;360;722;0;722;1
252555;Vinaixa;198;183;381;0;381;0
431779;Vinebre;171;153;324;0;324;0
431785;Vinyols i els Arcs;844;686;1530;0;1530;1
083089;Viver i Serrateix;55;40;95;0;95;0
430521;Xerta;486;369;855;0;855;0
;Catalunya;2989357;925770;3915127;2;3915129;3951

