Indicadors geogràfics. Superfície, densitat i entitats de població
Municipis. 2025
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=inddt&n=396&geo=mun&lang=ca
Codi;Nom;Superfície (km²);Densitat (hab./km²);Entitats singulars població (nombre)
251919;Sanaüja;32,99;11,8;1
081944;Sant Adrià de Besòs;3,82;10204,2;1
081957;Sant Agustí de Lluçanès;13,26;8,0;1
081960;Sant Andreu de la Barca;5,50;4921,6;1
081976;Sant Andreu de Llavaneres;11,83;1006,8;1
171576;Sant Andreu Salou;5,96;27,3;4
171833;Sant Aniol de Finestres;47,73;8,0;3
081982;Sant Antoni de Vilamajor;13,70;490,7;11
081995;Sant Bartomeu del Grau;34,40;27,1;1
082009;Sant Boi de Llobregat;21,47;3973,8;1
082016;Sant Boi de Lluçanès;19,48;30,8;4
082037;Sant Cebrià de Vallalta;15,80;244,0;7
082021;Sant Celoni;65,23;290,0;7
082042;Sant Climent de Llobregat;10,81;387,3;1
171582;Sant Climent Sescebes;24,37;28,4;4
082055;Sant Cugat del Vallès;48,23;2031,1;5
082068;Sant Cugat Sesgarrigues;6,24;166,2;1
251961;Sant Esteve de la Sarga;92,87;1,3;10
082074;Sant Esteve de Palautordera;10,64;291,3;2
082080;Sant Esteve Sesrovires;18,56;437,1;9
171595;Sant Feliu de Buixalleu;61,94;14,3;3
082107;Sant Feliu de Codines;15,00;454,7;1
171609;Sant Feliu de Guíxols;16,23;1420,8;8
082114;Sant Feliu de Llobregat;11,82;3949,9;1
171616;Sant Feliu de Pallerols;34,86;47,6;8
082129;Sant Feliu Sasserra;22,36;28,4;1
171621;Sant Ferriol;42,24;5,9;7
082093;Sant Fost de Campsentelles;13,15;714,8;4
082135;Sant Fruitós de Bages;22,29;418,3;8
171637;Sant Gregori;49,17;85,2;7
251924;Sant Guim de Freixenet;25,10;49,1;11
251977;Sant Guim de la Plana;12,45;15,4;3
171642;Sant Hilari Sacalm;83,28;72,9;1
082153;Sant Hipòlit de Voltregà;0,92;3966,3;1
081939;Sant Iscle de Vallalta;17,77;83,4;3
439023;Sant Jaume d'Enveja;60,79;61,8;3
082166;Sant Jaume de Frontanyà;21,26;1,2;1
171655;Sant Jaume de Llierca;6,75;127,6;3
431378;Sant Jaume dels Domenys;24,45;115,3;10
171674;Sant Joan de les Abadesses;53,67;63,2;9
171680;Sant Joan de Mollet;3,15;170,2;1
082188;Sant Joan de Vilatorrada;16,43;676,1;3
082172;Sant Joan Despí;6,17;5804,1;1
171851;Sant Joan les Fonts;31,94;98,9;5
171668;Sant Jordi Desvalls;11,72;75,2;5
089030;Sant Julià de Cerdanyola;11,79;19,8;1
171693;Sant Julià de Ramis;18,80;196,9;6
082205;Sant Julià de Vilatorta;15,94;209,3;2
179032;Sant Julià del Llor i Bonmatí;9,73;150,3;2
082212;Sant Just Desvern;7,81;2694,6;1
082227;Sant Llorenç d'Hortons;19,72;132,9;8
171714;Sant Llorenç de la Muga;31,84;7,8;1
251930;Sant Llorenç de Morunys;4,34;226,3;1
082233;Sant Llorenç Savall;41,11;63,0;1
082251;Sant Martí d'Albars;14,73;9,2;1
082248;Sant Martí de Centelles;25,55;49,4;4
171729;Sant Martí de Llémena;43,13;16,9;4
259025;Sant Martí de Riucorb;34,90;19,3;4
082264;Sant Martí de Tous;39,21;32,4;9
082270;Sant Martí Sarroca;35,27;98,6;20
082286;Sant Martí Sesgueioles;3,87;91,2;1
171735;Sant Martí Vell;17,52;15,4;7
082299;Sant Mateu de Bages;102,92;6,2;5
171740;Sant Miquel de Campmajor;33,22;7,7;5
171753;Sant Miquel de Fluvià;3,51;244,4;1
171766;Sant Mori;7,53;22,2;1
171772;Sant Pau de Segúries;8,74;82,3;2
082310;Sant Pere de Ribes;40,80;799,3;18
082325;Sant Pere de Riudebitlles;5,38;466,9;1
082331;Sant Pere de Torelló;55,13;47,3;2
082346;Sant Pere de Vilamajor;34,72;146,0;8
171788;Sant Pere Pescador;18,45;123,8;3
081897;Sant Pere Sallavinera;22,02;8,0;5
082359;Sant Pol de Mar;7,53;767,3;14
082362;Sant Quintí de Mediona;13,84;186,8;1
082378;Sant Quirze de Besora;8,12;266,4;1
082384;Sant Quirze del Vallès;14,07;1433,9;12
082397;Sant Quirze Safaja;26,21;25,3;1
251945;Sant Ramon;18,53;26,1;4
082401;Sant Sadurní d'Anoia;18,96;682,0;5
082418;Sant Sadurní d'Osormort;30,60;2,8;1
080983;Sant Salvador de Guardiola;37,15;96,8;10
082628;Sant Vicenç de Castellet;17,13;593,5;6
082649;Sant Vicenç de Montalt;8,05;848,3;10
082652;Sant Vicenç de Torelló;7,04;300,9;3
082634;Sant Vicenç dels Horts;9,12;3153,5;1
431384;Santa Bàrbara;28,15;137,3;1
082439;Santa Cecília de Voltregà;8,63;22,8;1
082444;Santa Coloma de Cervelló;7,49;1104,8;2
171805;Santa Coloma de Farners;70,64;201,3;8
082457;Santa Coloma de Gramenet;7,00;17607,1;1
431397;Santa Coloma de Queralt;33,85;83,7;4
171812;Santa Cristina d'Aro;67,55;88,4;10
082460;Santa Eugènia de Berga;7,01;335,2;2
082476;Santa Eulàlia de Riuprimer;13,82;109,7;1
082482;Santa Eulàlia de Ronçana;14,23;559,0;7
082495;Santa Fe del Penedès;3,41;107,6;1
171827;Santa Llogaia d'Àlguema;1,94;206,2;1
082508;Santa Margarida de Montbui;27,59;384,2;6
082515;Santa Margarida i els Monjos;17,16;453,1;3
082589;Santa Maria d'Oló;66,21;16,6;8
082536;Santa Maria de Besora;24,73;6,6;1
082567;Santa Maria de Martorelles;4,51;192,2;1
082554;Santa Maria de Merlès;52,08;3,4;5
082573;Santa Maria de Miralles;25,04;5,8;1
082592;Santa Maria de Palautordera;16,94;593,9;5
431401;Santa Oliva;9,65;384,6;7
171848;Santa Pau;49,01;32,2;13
082606;Santa Perpètua de Mogoda;15,83;1648,8;4
082613;Santa Susanna;12,63;320,6;7
081923;Santpedor;16,50;469,0;2
431423;Sarral;52,39;31,4;3
171864;Sarrià de Ter;4,16;1299,0;1
252017;Sarroca de Bellera;87,51;1,3;17
252000;Sarroca de Lleida;42,18;9,1;1
171870;Saus, Camallera i Llampaies;11,36;79,9;3
431439;Savallà del Comtat;14,80;3,3;2
431444;Secuita, la;17,77;104,0;5
171886;Selva de Mar, la;7,19;31,0;1
431457;Selva del Camp, la;35,31;162,9;3
431460;Senan;11,70;4,0;1
430445;Sénia, la;108,41;51,7;2
252022;Senterada;34,45;4,7;9
250352;Sentiu de Sió, la;29,62;15,1;4
082671;Sentmenat;28,80;330,8;4
171903;Serinyà;17,38;70,6;5
252043;Seròs;85,75;22,4;1
171910;Serra de Daró;7,91;30,5;2
171925;Setcases;49,12;4,0;3
252038;Seu d'Urgell, la;15,45;841,6;7
082690;Seva;30,40;125,6;2
252056;Sidamon;8,12;93,2;1
171931;Sils;29,91;231,5;10
082704;Sitges;43,85;745,5;4
170524;Siurana;10,53;17,9;1
082711;Sobremunt;13,80;6,4;3
252069;Soleràs, el;12,23;25,6;1
431476;Solivella;21,37;29,9;1
252075;Solsona;17,70;550,3;1
082726;Sora;31,71;7,1;3
252081;Soriguera;106,39;4,2;16
252094;Sort;105,05;21,8;15
252108;Soses;30,16;62,5;1
082732;Subirats;55,89;58,8;15
252115;Sudanell;8,69;105,9;1
252120;Sunyer;12,66;24,5;1
082747;Súria;23,60;262,5;2
171946;Susqueda;50,61;2,0;4
082763;Tagamanent;43,31;7,6;4
082779;Talamanca;29,43;7,1;1
252154;Talarn;27,95;20,0;3
252167;Talavera;30,11;9,3;6
171959;Tallada d'Empordà, la;16,56;29,3;4
082785;Taradell;26,48;258,2;3
431482;Tarragona;57,89;2474,7;15
252173;Tàrrega;88,36;214,9;7
252189;Tarrés;13,01;9,6;1
252192;Tarroja de Segarra;7,61;21,4;1
082750;Tavèrnoles;18,78;18,8;1
082802;Tavertet;32,49;3,9;2
082819;Teià;6,63;1039,8;8
252206;Térmens;27,54;48,8;1
171962;Terrades;20,96;16,1;3
082798;Terrassa;70,16;3316,4;5
082824;Tiana;7,95;1177,6;2
252213;Tírvia;8,50;16,4;3
252228;Tiurana;15,86;4,4;2
431495;Tivenys;53,54;17,8;1
431508;Tivissa;209,43;7,9;4
082830;Tona;16,54;514,7;1
252234;Torà;93,31;13,2;8
082845;Tordera;83,97;226,8;1
082858;Torelló;13,00;1179,5;1
252249;Torms, els;13,75;9,8;1
252252;Tornabous;24,17;34,3;3
252271;Torre de Cabdella, la;165,27;4,6;19
082861;Torre de Claramunt, la;15,02;276,6;9
431515;Torre de Fontaubella, la;7,11;16,9;1
431520;Torre de l'Espanyol, la;27,90;23,0;1
252265;Torrebesses;27,45;10,2;1
431536;Torredembarra;8,71;2088,4;3
252287;Torrefarrera;23,49;210,7;8
259078;Torrefeta i Florejacs;88,91;6,7;15
252304;Torregrossa;40,52;56,4;1
252311;Torrelameu;10,93;74,7;1
082877;Torrelavit;23,65;66,6;10
082883;Torrelles de Foix;36,72;74,9;10
082896;Torrelles de Llobregat;13,56;454,4;1
171978;Torrent;7,96;22,7;1
252326;Torres de Segre;50,61;45,3;2
252332;Torre-serona;5,89;71,1;1
171984;Torroella de Fluvià;16,85;45,9;6
171997;Torroella de Montgrí;65,93;189,7;2
431541;Torroja del Priorat;13,16;9,7;1
172001;Tortellà;11,07;76,6;2
431554;Tortosa;218,51;165,9;6
172018;Toses;57,88;3,4;5
172023;Tossa de Mar;38,58;163,1;10
252347;Tremp;302,82;20,3;29
172044;Ullà;7,29;172,3;2
082900;Ullastrell;7,31;296,9;4
172057;Ullastret;11,09;22,7;1
431567;Ulldecona;126,88;53,7;6
431573;Ulldemolins;38,17;10,2;1
172039;Ultramort;4,35;50,1;1
172060;Urús;17,42;11,5;2
082917;Vacarisses;40,70;189,4;17
170144;Vajol, la;4,71;23,4;1
172076;Vall d'en Bas, la;90,67;36,0;13
172082;Vall de Bianya, la;93,62;14,3;11
250432;Vall de Boí, la;219,49;5,1;10
259010;Vall de Cardós;56,20;7,0;8
082922;Vallbona d'Anoia;6,45;220,2;1
252385;Vallbona de les Monges;34,14;6,6;3
082938;Vallcebre;27,99;9,3;2
431589;Vallclara;13,63;6,7;1
252402;Vallfogona de Balaguer;26,97;74,5;3
171707;Vallfogona de Ripollès;39,20;5,7;8
431592;Vallfogona de Riucorb;10,94;8,9;1
082943;Vallgorguina;22,13;147,9;5
082956;Vallirana;23,88;680,0;23
172095;Vall-llobrega;5,45;165,5;4
431606;Vallmoll;16,68;119,7;3
082969;Vallromanes;10,65;261,2;1
431613;Valls;55,28;462,0;4
259062;Valls d'Aguilar, les;123,81;2,1;13
252398;Valls de Valira, les;171,25;5,0;15
431628;Vandellòs i l'Hospitalet de l'Infant;102,67;69,7;5
259097;Vansa i Fórnols, la;106,08;1,8;11
082975;Veciana;38,90;4,4;5
431634;Vendrell, el;36,80;1119,4;10
172109;Ventalló;25,05;36,8;8
252424;Verdú;35,79;24,4;1
172116;Verges;9,70;119,6;1
431649;Vespella de Gaià;18,04;27,8;4
082981;Vic;30,58;1648,3;1
172121;Vidrà;34,39;4,9;3
172137;Vidreres;48,05;184,2;12
252430;Vielha e Mijaran;211,74;27,7;13
431652;Vilabella;18,19;40,2;1
172142;Vilabertran;2,29;420,1;1
172155;Vilablareix;6,17;661,1;2
082994;Vilada;22,34;19,2;1
172174;Viladamat;11,73;42,5;2
172168;Viladasens;15,74;13,0;5
083015;Viladecans;20,40;3310,6;1
083008;Viladecavalls;20,09;389,0;10
172180;Vilademuls;61,54;14,6;12
172207;Viladrau;50,73;23,3;9
172214;Vilafant;8,36;677,5;3
083054;Vilafranca del Penedès;19,65;2166,0;6
252445;Vilagrassa;19,87;31,6;1
172235;Vilajuïga;13,13;89,9;7
431750;Vilalba dels Arcs;67,25;9,1;1
083067;Vilalba Sasserra;6,05;130,6;1
252458;Vilaller;59,23;8,4;2
172240;Vilallonga de Ter;64,20;6,2;10
431665;Vilallonga del Camp;9,04;275,9;1
172253;Vilamacolum;5,57;72,0;1
172266;Vilamalla;8,77;137,1;4
172272;Vilamaniscle;5,46;33,9;1
252477;Vilamòs;15,44;11,3;2
172288;Vilanant;16,87;24,0;2
431671;Vilanova d'Escornalbou;17,16;35,8;2
252483;Vilanova de Bellpuig;13,98;82,2;1
252496;Vilanova de l'Aguda;53,68;3,6;5
252542;Vilanova de la Barca;21,55;53,8;1
252509;Vilanova de Meià;105,24;4,5;7
431687;Vilanova de Prades;21,51;5,1;1
083036;Vilanova de Sau;58,84;5,5;4
252516;Vilanova de Segrià;8,51;127,8;4
083020;Vilanova del Camí;10,28;1253,5;1
089024;Vilanova del Vallès;15,20;374,8;16
083073;Vilanova i la Geltrú;33,99;2097,8;1
431690;Vilaplana;23,20;24,1;1
431704;Vila-rodona;33,11;41,9;3
172305;Vila-sacra;6,03;145,8;1
252521;Vila-sana;19,10;39,5;1
431711;Vila-seca;21,64;1116,4;3
082140;Vilassar de Dalt;8,86;1064,7;1
082191;Vilassar de Mar;4,00;5308,5;1
172229;Vilaür;5,49;29,7;2
431726;Vilaverd;12,61;39,2;1
431732;Vilella Alta, la;5,15;25,2;1
431747;Vilella Baixa, la;5,62;35,9;1
172333;Vilobí d'Onyar;32,59;101,2;3
083041;Vilobí del Penedès;9,34;123,9;4
172327;Vilopriu;16,38;13,4;4
252537;Vilosell, el;18,88;9,4;1
431763;Vimbodí i Poblet;66,09;13,5;1
252555;Vinaixa;37,59;11,6;1
431779;Vinebre;26,44;16,2;1
431785;Vinyols i els Arcs;10,83;228,1;3
083089;Viver i Serrateix;66,80;2,7;3
430521;Xerta;32,39;36,6;1
;Catalunya;32107,98;253,0;3910

