Indicadors geogràfics. Superfície, densitat i entitats de població
Municipis. 2025
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=inddt&n=396&geo=mun&lang=ca
Codi;Nom;Superfície (km²);Densitat (hab./km²);Entitats singulars població (nombre)
080291;Cabrera de Mar;8,98;562,7;1
080305;Cabrils;7,05;1100,0;1
170329;Cadaqués;26,43;110,0;1
080312;Calaf;9,22;393,4;2
430379;Calafell;20,38;1591,2;5
080348;Calders;33,09;33,9;2
080327;Caldes d'Estrac;0,88;3804,5;1
170335;Caldes de Malavella;57,33;150,8;15
080333;Caldes de Montbui;37,45;495,4;4
080351;Calella;8,00;2596,9;6
080370;Calldetenes;5,80;469,7;2
080386;Callús;12,50;175,4;6
080364;Calonge de Segarra;37,15;4,8;6
170340;Calonge i Sant Antoni;33,57;365,4;5
250621;Camarasa;157,13;5,1;7
439039;Camarles;25,16;139,1;3
430385;Cambrils;35,21;1052,8;6
170353;Camós;15,66;44,7;2
170366;Campdevànol;32,62;99,3;8
170372;Campelles;18,64;8,7;2
080399;Campins;7,29;80,7;1
170388;Campllong;8,59;62,2;7
170391;Camprodon;103,38;24,8;11
250637;Canejan;48,32;2,0;9
170405;Canet d'Adri;44,41;16,7;6
080403;Canet de Mar;5,56;2732,2;1
439076;Canonja, la;7,32;818,7;1
080410;Canovelles;6,66;2619,4;13
080425;Cànoves i Samalús;29,19;116,2;8
170412;Cantallops;19,62;18,7;1
080431;Canyelles;14,23;386,1;1
430398;Capafonts;13,35;7,6;1
430402;Capçanes;22,49;19,8;1
080446;Capellades;2,94;1904,1;1
170427;Capmany;26,40;25,6;5
080459;Capolat;34,13;2,7;5
080462;Cardedeu;12,10;1574,4;1
080478;Cardona;66,70;68,1;2
080484;Carme;11,68;73,6;3
430419;Caseres;42,90;5,8;1
170448;Cassà de la Selva;45,21;247,0;11
080497;Casserres;29,46;56,5;3
170486;Castell d'Aro, Platja d'Aro i s'Agaró;21,74;592,9;3
080575;Castell de l'Areny;24,35;2,8;1
259046;Castell de Mur;62,42;2,5;8
250642;Castellar de la Ribera;60,19;2,2;4
080522;Castellar de n'Hug;47,12;3,5;1
080500;Castellar del Riu;32,74;4,6;4
080517;Castellar del Vallès;44,91;565,5;8
080538;Castellbell i el Vilar;28,47;146,2;19
080543;Castellbisbal;31,03;420,8;18
080556;Castellcir;34,18;23,5;4
250674;Castelldans;65,10;14,7;1
080569;Castelldefels;12,87;5414,8;1
080581;Castellet i la Gornal;47,48;58,4;12
170464;Castellfollit de la Roca;0,73;1315,1;1
080608;Castellfollit de Riubregós;26,21;5,8;1
080594;Castellfollit del Boix;58,90;8,0;6
080615;Castellgalí;17,21;140,1;8
080620;Castellnou de Bages;29,16;50,4;5
250680;Castellnou de Seana;16,11;45,5;1
170470;Castelló d'Empúries;42,30;290,2;2
250693;Castelló de Farfanya;52,62;10,4;1
080636;Castellolí;25,28;26,5;3
250707;Castellserà;15,84;62,3;1
080641;Castellterçol;31,90;86,0;1
430424;Castellvell del Camp;5,21;576,0;11
080654;Castellví de la Marca;28,40;60,5;15
080667;Castellví de Rosanes;16,38;132,2;6
430430;Catllar, el;26,43;203,8;25
250714;Cava;42,19;0,9;3
171899;Cellera de Ter, la;14,63;139,0;4
170499;Celrà;19,53;287,4;12
080673;Centelles;15,18;517,8;1
082687;Cercs;47,35;26,1;5
082665;Cerdanyola del Vallès;30,56;1906,5;2
080689;Cervelló;24,10;403,6;16
250729;Cervera;55,19;174,5;6
250735;Cervià de les Garrigues;34,20;18,6;1
170502;Cervià de Ter;9,90;104,0;2
170519;Cistella;25,55;11,2;5
250740;Ciutadilla;17,03;10,9;1
250753;Clariana de Cardener;40,78;3,9;4
250766;Cogul, el;17,51;9,3;1
170545;Colera;24,35;20,1;2
250772;Coll de Nargó;151,41;3,9;6
080692;Collbató;18,07;266,7;10
430458;Colldejou;14,48;10,8;1
080706;Collsuspina;15,08;25,9;3
170558;Colomers;4,35;47,4;1
251636;Coma i la Pedra, la;60,62;4,6;3
251615;Conca de Dalt;166,48;2,6;12
430461;Conesa;29,02;3,9;1
430477;Constantí;30,87;231,8;1
080713;Copons;18,66;18,9;1
430483;Corbera d'Ebre;53,09;19,3;1
080728;Corbera de Llobregat;18,41;871,5;1
250788;Corbins;21,01;70,9;1
170577;Corçà;16,29;78,9;4
080734;Cornellà de Llobregat;6,99;13198,1;5
170561;Cornellà del Terri;27,71;87,1;10
430496;Cornudella de Montsant;63,50;16,0;3
430509;Creixell;10,46;405,7;11
170583;Crespià;11,38;22,2;5
179011;Cruïlles, Monells i Sant Sadurní de l'Heura;99,84;13,5;17
080749;Cubelles;13,49;1308,2;2
250791;Cubells;39,17;9,0;2
430516;Cunit;9,74;1673,9;1
170600;Darnius;34,93;16,1;7
170617;Das;14,58;17,9;5
439018;Deltebre;107,44;112,4;1
080752;Dosrius;40,73;154,8;3
430537;Duesaigües;13,58;16,1;1
170622;Escala, l';16,31;652,4;4
080765;Esparreguera;27,40;826,2;4
170638;Espinelves;17,43;15,0;1
250812;Espluga Calba, l';21,53;15,0;1
430542;Espluga de Francolí, l';56,97;68,3;4
080771;Esplugues de Llobregat;4,60;10527,0;1
170643;Espolla;43,55;9,2;1
170656;Esponellà;16,06;27,6;9
250827;Espot;97,30;3,9;4
080787;Espunyola, l';35,46;7,3;6
082541;Esquirol, l';61,80;37,3;4
250886;Estamariu;21,16;6,3;1
080790;Estany, l';10,25;38,1;2
250851;Estaràs;20,99;7,7;6
250864;Esterri d'Àneu;8,49;107,7;1
250870;Esterri de Cardós;16,55;3,8;4
430555;Falset;31,62;91,5;1
170059;Far d'Empordà, el;9,00;69,3;2
250899;Farrera;61,87;1,9;6
430568;Fatarella, la;56,52;14,9;2
430574;Febró, la;16,08;2,2;1
081347;Figaró-Montmany;14,99;79,2;1
080804;Fígols;29,31;1,4;1
259084;Fígols i Alinyà;101,80;2,3;5
430580;Figuera, la;18,69;6,2;1
170669;Figueres;19,30;2567,7;3
430593;Figuerola del Camp;22,72;15,1;1
170675;Flaçà;6,53;179,8;1
430607;Flix;116,90;28,6;3
250925;Floresta, la;5,46;29,1;1
080826;Fogars de la Selva;32,12;53,1;1
080811;Fogars de Montclús;39,72;12,4;6
170681;Foixà;18,80;15,9;5
080832;Folgueroles;10,47;216,0;1
250931;Fondarella;5,43;152,5;1
080847;Fonollosa;51,67;30,4;4
170694;Fontanals de Cerdanya;28,65;18,0;7
170708;Fontanilles;9,28;18,3;2
170715;Fontcoberta;17,28;85,8;5
080850;Font-rubí;37,42;38,4;16
250946;Foradada;28,55;6,8;6
179026;Forallac;50,63;35,3;8
430614;Forès;16,03;2,4;1
170736;Fornells de la Selva;11,86;237,2;6
170741;Fortià;10,76;73,3;1
080863;Franqueses del Vallès, les;29,14;715,7;5
430629;Freginals;17,59;25,3;1
250962;Fuliola, la;11,05;115,6;2
250978;Fulleda;16,18;5,4;1
080902;Gaià;39,48;4,4;2
430635;Galera, la;27,47;26,6;1
080879;Gallifa;16,33;10,5;1
430640;Gandesa;71,15;44,3;1
430653;Garcia;52,37;10,6;1
430666;Garidells, els;3,07;68,7;2
080885;Garriga, la;18,80;924,8;1
170754;Garrigàs;19,89;24,1;5
170767;Garrigoles;9,40;19,5;2
170773;Garriguella;21,01;47,1;1
080898;Gavà;30,75;1566,9;1
250984;Gavet de la Conca;90,90;2,8;12
080919;Gelida;26,70;306,8;8
170789;Ger;33,38;15,0;8
259123;Gimenells i el Pla de la Font;55,84;19,2;3
430672;Ginestar;15,84;50,4;1
170792;Girona;39,12;2769,7;13
080924;Gironella;6,78;749,6;5
080930;Gisclareny;36,47;0,8;1
430688;Godall;33,62;17,8;1
250997;Golmés;16,62;115,2;1
170806;Gombrèn;43,26;4,8;4
251001;Gósol;56,29;3,7;2
080945;Granada, la;6,52;349,8;1
251018;Granadella, la;88,70;8,5;1
080958;Granera;23,73;3,5;1
251023;Granja d'Escarp, la;38,51;25,8;1
080961;Granollers;14,87;4379,5;1
251039;Granyanella;24,35;6,3;5
251057;Granyena de les Garrigues;20,47;8,5;1
251044;Granyena de Segarra;16,30;9,1;1
430691;Gratallops;13,52;16,8;1
080977;Gualba;23,29;75,3;8
170813;Gualta;9,02;48,4;1
080996;Guardiola de Berguedà;61,73;15,6;2
430705;Guiamets, els;12,14;20,8;1
170828;Guils de Cerdanya;22,02;25,4;4
251095;Guimerà;25,76;9,8;1
259031;Guingueta d'Àneu, la;108,42;2,5;14
251109;Guissona;18,10;426,2;2
251116;Guixers;66,44;1,9;7
081000;Gurb;51,57;53,1;4
430712;Horta de Sant Joan;118,99;9,7;2
081017;Hospitalet de Llobregat, l';12,40;23561,4;1
081629;Hostalets de Pierola, els;33,49;97,2;10
170834;Hostalric;3,39;1316,8;1
081022;Igualada;8,11;5234,2;1
251155;Isona i Conca Dellà;139,37;7,4;14
170849;Isòvol;10,81;29,0;3
251137;Ivars d'Urgell;24,32;65,7;4
251121;Ivars de Noguera;27,14;11,7;1
251142;Ivorra;15,36;6,6;1
170852;Jafre;6,64;57,8;1
170865;Jonquera, la;56,93;59,9;5
081038;Jorba;30,90;27,5;2
259101;Josa i Tuixén;68,16;1,6;2
170871;Juià;8,36;38,3;4
251180;Juncosa;76,49;5,0;1
251193;Juneda;47,33;74,4;1
251214;Les;23,45;44,9;1
251229;Linyola;28,66;96,1;1
081043;Llacuna, la;52,23;18,4;3
170887;Lladó;13,50;61,0;4
251235;Lladorre;146,98;1,7;8
251240;Lladurs;128,03;1,5;7
081056;Llagosta, la;3,03;4374,3;1
170890;Llagostera;76,38;125,4;18
170904;Llambilles;14,58;50,2;9
170911;Llanars;24,73;20,9;6
170926;Llançà;27,98;179,9;3
251253;Llardecans;66,04;6,7;1
251266;Llavorsí;68,51;5,0;7
251207;Lleida;212,30;694,2;8
170932;Llers;21,28;59,6;4
251272;Lles de Cerdanya;102,79;2,9;5
081075;Lliçà d'Amunt;22,33;739,8;3
081081;Lliçà de Vall;10,83;636,3;16
251288;Llimiana;41,68;3,1;3
081069;Llinars del Vallès;27,63;395,6;7
170947;Llívia;12,93;121,6;3
430727;Lloar, el;6,64;15,1;1
251291;Llobera;39,23;5,1;3
430733;Llorac;23,33;4,5;4
430748;Llorenç del Penedès;4,61;526,2;2
170950;Lloret de Mar;48,71;861,1;8
170963;Llosses, les;114,02;1,7;8
081094;Lluçà;52,98;5,3;2
171024;Maçanet de Cabrenys;67,91;11,3;8
171030;Maçanet de la Selva;45,58;176,9;16
170979;Madremanya;13,72;20,2;4
170985;Maià de Montcal;17,29;28,8;10
251333;Maials;57,08;16,6;1
251305;Maldà;31,36;7,7;1
081108;Malgrat de Mar;8,82;2225,6;1
081115;Malla;11,01;26,0;1
081120;Manlleu;17,17;1241,8;1
081136;Manresa;41,64;1937,8;17
430764;Marçà;16,06;38,9;3
430751;Margalef;34,66;3,2;1
082423;Marganell;13,53;23,0;5
081141;Martorell;12,76;2271,9;4
081154;Martorelles;3,61;1381,4;1
430770;Mas de Barberans;78,80;6,8;1
171002;Masarac i Vilarnadal;12,55;23,2;3
430786;Masdenverge;14,61;78,4;1
081167;Masies de Roda, les;16,46;46,1;5
081173;Masies de Voltregà, les;22,35;149,7;12
430799;Masllorenç;6,55;86,7;3
081189;Masnou, el;3,39;7294,1;1
430803;Masó, la;3,57;86,3;1
430810;Maspujols;3,66;250,5;2
081192;Masquefa;17,06;592,7;6
430825;Masroig, el;15,51;30,8;1
251312;Massalcoreig;14,14;41,7;2
171019;Massanes;26,07;33,8;7
251327;Massoteres;26,11;8,7;3
081206;Matadepera;25,36;386,8;1
081213;Mataró;22,53;5830,9;1
081228;Mediona;47,55;56,0;9
251348;Menàrguens;20,25;39,6;1
170998;Meranges;37,34;3,0;2
171058;Mieres;26,29;14,0;5
430831;Milà, el;4,13;47,0;1
251351;Miralcamp;14,87;91,4;1
430846;Miravet;32,33;21,7;1
081385;Moià;75,31;90,4;1
430859;Molar, el;22,81;13,2;1
081234;Molins de Rei;15,94;1712,1;4
251370;Mollerussa;7,08;2262,1;1
171061;Mollet de Peralada;6,04;33,4;3
081249;Mollet del Vallès;10,77;4898,7;2
171077;Molló;43,09;8,1;9
251364;Molsosa, la;26,89;3,8;3
081287;Monistrol de Calders;21,97;34,8;1
081271;Monistrol de Montserrat;11,77;274,7;5
171096;Montagut i Oix;93,70;10,8;14
430862;Montblanc;91,07;83,1;6
430884;Montbrió del Camp;10,70;296,0;1
081252;Montcada i Reixac;23,47;1595,5;5
081304;Montclar;21,89;6,1;3
251399;Montellà i Martinet;54,95;11,0;5
081311;Montesquiu;4,94;229,4;2
251403;Montferrer i Castellbò;176,66;6,6;27
430897;Montferri;19,15;26,6;2
251386;Montgai;28,94;22,2;2
081265;Montgat;2,91;4410,7;1
081326;Montmajor;76,49;6,2;6
081332;Montmaneu;13,62;13,4;2
430901;Montmell, el;72,80;26,7;8
081350;Montmeló;4,00;2217,0;1
251425;Montoliu de Lleida;7,34;66,9;2
251410;Montoliu de Segarra;29,47;6,2;5
251431;Montornès de Segarra;12,32;7,1;2
081363;Montornès del Vallès;10,23;1667,8;2
430918;Mont-ral;34,72;5,1;6
171100;Mont-ras;12,31;137,3;5
430923;Mont-roig del Camp;63,32;231,4;3
081379;Montseny;26,77;14,5;1
430939;Móra d'Ebre;45,12;129,5;1
430944;Móra la Nova;15,93;211,2;1
430957;Morell, el;5,94;641,6;1
430960;Morera de Montsant, la;52,88;2,9;2
081290;Muntanyola;40,30;17,4;3
081398;Mura;47,79;4,9;1
251459;Nalec;9,25;9,8;1
250254;Naut Aran;255,75;7,4;7
081402;Navarcles;5,52;1137,1;4
081419;Navàs;80,62;77,4;7
171117;Navata;18,48;81,4;3
251462;Navès;145,27;2,0;9
081424;Nou de Berguedà, la;25,01;6,5;1
430976;Nou de Gaià, la;4,32;139,4;1
430982;Nulles;10,61;52,4;3
251484;Odèn;114,38;2,0;9
081430;Òdena;52,66;71,3;10
171122;Ogassa;45,22;4,9;8
081458;Olèrdola;30,15;131,1;8
081461;Olesa de Bonesvalls;30,79;69,3;7
081477;Olesa de Montserrat;16,63;1503,3;1
251497;Oliana;32,37;57,7;3
251500;Oliola;86,28;2,2;8
251517;Olius;54,84;18,0;4
081483;Olivella;38,75;115,4;2
081496;Olost;29,37;41,0;2
171143;Olot;29,03;1361,2;3
251522;Oluges, les;18,95;8,8;3
081445;Olvan;35,58;26,0;1
251538;Omellons, els;11,06;16,9;1
251543;Omells de na Gaia, els;13,48;9,3;1
171156;Ordis;8,55;48,1;2
251556;Organyà;12,53;67,9;1
081509;Orís;27,17;13,0;5
081516;Oristà;68,49;8,1;3
081521;Orpí;15,23;11,6;4
081537;Òrrius;5,66;143,8;1
