year,municipality_code,municipality,age_code,age_label,age_years,sex,population,source_url
2021,431711,Vila-seca,Y044,44 anys,44,F,255,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y045,45 anys,45,M,242,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y045,45 anys,45,F,197,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y046,46 anys,46,M,216,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y046,46 anys,46,F,195,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y047,47 anys,47,M,231,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y047,47 anys,47,F,171,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y048,48 anys,48,M,196,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y048,48 anys,48,F,163,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y049,49 anys,49,M,187,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y049,49 anys,49,F,154,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y050,50 anys,50,M,176,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y050,50 anys,50,F,149,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y051,51 anys,51,M,176,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y051,51 anys,51,F,150.0,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y052,52 anys,52,M,143,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y052,52 anys,52,F,139,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y053,53 anys,53,M,163,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y053,53 anys,53,F,137,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y054,54 anys,54,M,172,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y054,54 anys,54,F,151,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y055,55 anys,55,M,157,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y055,55 anys,55,F,132,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y056,56 anys,56,M,154,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y056,56 anys,56,F,153,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y057,57 anys,57,M,127,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y057,57 anys,57,F,160.0,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y058,58 anys,58,M,137,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y058,58 anys,58,F,117,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y059,59 anys,59,M,114,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y059,59 anys,59,F,132,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y060,60 anys,60,M,120.0,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y060,60 anys,60,F,126,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y061,61 anys,61,M,126,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y061,61 anys,61,F,119,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y062,62 anys,62,M,118,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y062,62 anys,62,F,116,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y063,63 anys,63,M,97,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
