year,municipality_code,municipality,age_code,age_label,age_years,sex,population,source_url
2021,431711,Vila-seca,Y000,0 anys,0,M,103,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y000,0 anys,0,F,98,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y001,1 any,1,M,113,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y001,1 any,1,F,87,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y002,2 anys,2,M,125,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y002,2 anys,2,F,116,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y003,3 anys,3,M,127,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y003,3 anys,3,F,124,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y004,4 anys,4,M,133,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y004,4 anys,4,F,134,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y005,5 anys,5,M,138,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y005,5 anys,5,F,159,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y006,6 anys,6,M,183,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y006,6 anys,6,F,150.0,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y007,7 anys,7,M,155,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y007,7 anys,7,F,142,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y008,8 anys,8,M,134,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y008,8 anys,8,F,138,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y009,9 anys,9,M,170.0,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y009,9 anys,9,F,146,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y010,10 anys,10,M,159,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y010,10 anys,10,F,153,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y011,11 anys,11,M,170.0,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y011,11 anys,11,F,147,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y012,12 anys,12,M,171,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y012,12 anys,12,F,152,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y013,13 anys,13,M,127,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y013,13 anys,13,F,124,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y014,14 anys,14,M,142,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y014,14 anys,14,F,135,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y015,15 anys,15,M,138,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y015,15 anys,15,F,130.0,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y016,16 anys,16,M,109,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y016,16 anys,16,F,107,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y017,17 anys,17,M,128,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y017,17 anys,17,F,99,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y018,18 anys,18,M,108,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y018,18 anys,18,F,113,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y019,19 anys,19,M,103,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y019,19 anys,19,F,104,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y020,20 anys,20,M,115,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y020,20 anys,20,F,116,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y021,21 anys,21,M,93,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y021,21 anys,21,F,100.0,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y022,22 anys,22,M,115,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y022,22 anys,22,F,111,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y023,23 anys,23,M,109,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y023,23 anys,23,F,92,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y024,24 anys,24,M,105,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y024,24 anys,24,F,109,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y025,25 anys,25,M,90.0,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y025,25 anys,25,F,91,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y026,26 anys,26,M,100.0,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y026,26 anys,26,F,122,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
